CustomerID,Channel,ResponseRate,PreferenceScore
1,Mobile App,0.24,3
1,SMS,0.51,5
1,Push Notification,0.64,3
1,Email,0.12,2
1,Website Chat,0.75,2
2,Phone,0.12,3
2,Push Notification,0.65,2
2,Direct Mail,0.14,4
2,Website Chat,0.43,3
2,SMS,0.44,4
3,Mobile App,0.95,4
3,SMS,0.61,2
4,Email,0.21,5
4,Push Notification,0.85,3
5,Email,0.59,5
5,Phone,0.97,2
6,Email,0.39,4
6,In-Person,0.14,5
6,Phone,0.45,2
6,Direct Mail,0.59,2
6,Mobile App,0.97,4
7,SMS,0.48,1
7,Phone,0.28,3
7,Mobile App,0.28,3
7,Direct Mail,0.81,3
7,Push Notification,0.17,2
8,Phone,0.43,5
8,In-Person,0.76,3
9,Push Notification,0.31,3
9,SMS,0.57,2
9,Mobile App,0.12,5
9,Website Chat,0.28,1
10,SMS,0.59,5
10,Email,0.31,3
10,Direct Mail,0.73,4
10,Phone,0.94,5
10,Website Chat,0.37,5
11,Phone,0.39,4
11,Email,0.42,1
11,In-Person,0.34,3
11,SMS,0.48,4
11,Push Notification,0.42,3
12,Direct Mail,0.32,3
12,Mobile App,0.39,1
12,SMS,0.46,1
12,Phone,0.33,4
13,SMS,0.65,2
13,Website Chat,0.47,5
13,Push Notification,0.41,1
14,Email,0.63,3
14,Phone,0.43,1
14,Website Chat,0.76,5
14,Direct Mail,0.67,3
15,Website Chat,0.11,3
15,SMS,0.83,4
16,Push Notification,0.29,2
16,Mobile App,0.33,4
16,In-Person,0.26,1
16,Phone,0.56,1
16,Direct Mail,0.32,4
17,Website Chat,0.86,4
17,SMS,0.9,1
17,Mobile App,0.68,3
17,Direct Mail,0.94,4
17,Push Notification,0.91,4
17,Email,0.62,1
18,Phone,0.69,1
18,Website Chat,0.26,4
18,Mobile App,0.31,5
18,Direct Mail,0.26,3
19,Push Notification,0.33,5
19,Direct Mail,0.54,3
20,Direct Mail,0.88,4
20,Website Chat,0.75,3
20,Phone,0.61,1
20,Mobile App,0.14,4
21,Email,0.11,5
21,Mobile App,0.49,5
21,Phone,0.62,4
21,SMS,0.87,5
21,Direct Mail,0.45,1
22,Push Notification,0.94,2
22,Mobile App,0.65,2
22,In-Person,0.33,2
22,Phone,0.89,1
23,Website Chat,0.83,1
23,Mobile App,0.65,4
24,Phone,0.73,4
24,SMS,0.9,4
24,Website Chat,0.62,3
25,Email,0.13,4
25,Phone,0.13,3
26,SMS,0.18,5
26,Phone,0.27,3
26,Direct Mail,0.67,4
26,Push Notification,0.22,2
26,Mobile App,0.56,3
27,Email,0.12,5
27,In-Person,0.17,1
28,Mobile App,0.32,1
28,Website Chat,0.69,5
28,Phone,0.67,5
28,Direct Mail,0.76,5
28,Push Notification,0.65,3
29,Mobile App,0.14,1
29,Direct Mail,0.38,4
29,Website Chat,0.26,2
29,Push Notification,0.79,5
29,Email,0.53,1
30,Email,0.44,2
30,Phone,0.94,1
30,Push Notification,0.59,5
30,Mobile App,0.25,2
30,In-Person,0.12,3
30,Website Chat,0.82,4
31,SMS,0.95,3
31,Direct Mail,0.84,2
31,Website Chat,0.29,5
32,Website Chat,0.71,1
32,In-Person,0.69,5
32,Phone,0.86,2
32,Email,0.41,3
32,SMS,0.35,4
32,Push Notification,0.72,2
33,SMS,0.59,5
33,Website Chat,0.78,3
33,Push Notification,0.99,4
33,Direct Mail,0.43,5
33,Email,0.31,5
33,Mobile App,0.77,3
34,Phone,0.37,3
34,SMS,0.45,4
35,Push Notification,0.96,3
35,In-Person,0.54,5
35,SMS,0.18,4
35,Direct Mail,0.4,3
35,Website Chat,0.29,5
35,Mobile App,0.81,1
37,Website Chat,0.59,3
37,Mobile App,0.21,4
37,Phone,0.72,2
37,Email,0.66,5
