Product_ID,Product_Name,Product_Type,Tier,Features_Benefits,Target_Behavior,Special_Offer,min_age,min_income,min_credit_score
P001,Starter Credit Card,Credit Card,Low,1% cashback on all purchases,"New credit users, low spenders",USD 25 cashback on first USD 300 spend,,20000.0,600.0
P002,Everyday Saver,Savings Account,Low,"4% interest, no maintenance fees",Customers starting savings,"USD 50 bonus for maintaining USD 1,000 balance for 3 months",,100.0,
P003,Smart Shopper Card,Credit Card,Mid,2% cashback on groceries & fuel,High grocery and fuel spenders,USD 50 cashback on first USD 500 spend,,30000.0,650.0
P004,Smart Budget Account,Savings + Budget,Mid,5% APY on goal-based savings,Budget-conscious savers,Free premium budgeting tools for 6 months,,25000.0,
P005,Travel Rewards Elite,Credit Card,High,"3x travel points, lounge access",Frequent travelers,"USD 200 travel voucher after USD 5,000 spend",,70000.0,700.0
P006,Elite Wealth Plan,Investment,High,"6–8% ROI, personal wealth advisor",High-income professionals,1% bonus returns for first year,30.0,100000.0,
P007,Family Future Plan,Insurance/Savings,Mid-High,Child savings + life insurance combo,"Families, new parents",USD 100 bonus on first-year premium,25.0,,
P008,Student Flex Account,Savings,Student,"No fees, education budgeting tools",Students under 25,USD 100 top-up on monthly deposits over USD 200,,,
P009,Home Advantage Loan,Loan,Mid-High,Low-interest home loans,First-time home buyers,Reduced interest rate for bundled insurance,,,
P010,Retirement Essentials,Wealth + Health,Senior,Pension fund + health perks,Customers over 60,USD 500 wellness bonus for first year,60.0,,
P011,FlexFuel Card,Credit Card,Low-Mid,3% cashback on fuel,Regular commuters,USD 50 fuel voucher after USD 500 spend,,,
P012,Digital Nomad Saver,Savings Account,Mid,1.5% bonus APY for international use,"Frequent travelers, remote workers",No international transfer fees for 6 months,,,
P013,HealthSecure Plan,Health + Savings,Mid,"HSA integration, telehealth access",Health-conscious individuals,USD 200 credit toward medical expenses,,,
P014,GreenLife Investment,ESG Investment,Mid-High,5–9% returns in sustainable funds,Eco-conscious investors,USD 100 green bonus + 0.5% bonus returns,,40000.0,
P015,Weekend Explorer Card,Credit Card,Mid,2.5% cashback on dining & entertainment,Social and active lifestyle,"Free concert ticket after USD 2,000 spend",,400.0,
P016,CashBuilder Certificate,CD / Fixed Deposit,Low-Mid,4.75% fixed interest (6 months),Idle balance savers,USD 25 bonus for auto-renewal,,5000.0,
P017,Lifestyle Bundle Plus,Bundle (3-in-1),High,Credit + Wealth + Travel perks,"Affluent, multi-product users",USD 300 statement credit + concierge onboarding,,100000.0,
P018,BabyStart Trust Plan,Child Investment,Mid,Custodial account for education,Parents with young children,1st-year fees waived + USD 100 education bonus,,,
P019,MoveSmart Relocation Loan,Loan,Mid,"0% for 6 months, flexible repayment",Customers with large recent spends,USD 150 moving voucher,,5000.0,
P020,SideHustle Account,Business Checking,Low-Mid,"No fees, invoice management","Freelancers, side businesses",USD 75 bonus for linking payment gateway,,,
