ClaimID,PolicyNumber,ClaimDate,ClaimAmount,ClaimStatus,ClaimType,IncidentLocation,ClaimDescription,AdjusterID
1,PN000297,2022-11-07,89742.47,Denied,Vehicle,Bakerview,Community production how treat north yes loss arm.,2
2,PN000338,2023-03-30,56414.22,Pending,Vehicle,Lake Jillian,Buy member herself hour perhaps large per consumer specific.,26
3,PN000376,2022-02-07,52115.77,Approved,Vehicle,Port Melissa,Behavior guy particular some whether that suffer heavy despite.,27
4,PN000195,2023-04-08,72144.83,Denied,Property,Port Kennethmouth,Early something be foreign artist music win least police decide place understand run none create.,15
5,PN000005,2023-08-08,59749.36,Approved,Vehicle,Floresstad,Wear produce test commercial up your everyone.,12
6,PN000034,2022-05-11,83125.87,Pending,Vehicle,New Richardmouth,Government leg program at investment couple reduce field almost few across care father.,6
7,PN000283,2023-03-29,30400.27,Approved,Health,East Katherine,Suddenly city Republican exist a value parent much policy far education boy.,22
8,PN000098,2022-11-10,69746.79,Approved,Health,Abbottton,Paper market store market we weight type keep few system result through exactly factor teacher defense.,20
9,PN000040,2023-12-27,14804.6,Denied,Property,Lake Jill,Paper order evening system medical likely throughout participant dog per bring else security site sometimes find.,7
10,PN000490,2023-03-19,70542.98,Denied,Property,West Stephen,Art each ability production meet together answer reach middle determine.,3
11,PN000177,2023-11-05,42983.51,Pending,Vehicle,Antonioton,Point among later drive require seven positive early great language thank wall skill west.,19
12,PN000397,2023-09-06,32032.69,Pending,Vehicle,Nixonville,Kid dream budget somebody set structure thus read sometimes message western visit alone.,12
13,PN000373,2022-09-24,3409.18,Denied,Health,Blevinschester,City change fill former almost money land international you move beyond central parent realize those.,30
14,PN000280,2022-12-24,65250.5,Pending,Property,Angelamouth,Well Mr our decision better rise training reason big own carry director.,8
15,PN000415,2022-08-12,32897.91,Pending,Property,Lake Michaelport,Front too author activity result believe personal letter people least ok not capital maintain positive increase.,5
16,PN000455,2023-12-08,72161.26,Approved,Health,Taylorside,Natural line audience test success sometimes different a to way film story player.,13
17,PN000093,2023-03-30,12505.78,Denied,Property,South Christopherview,Care statement manage worry form company as future partner participant back.,22
18,PN000479,2023-03-12,77029.51,Denied,Health,South Joshua,Notice reflect measure travel majority some return fast hair respond want under tend sell police part.,20
19,PN000339,2022-11-29,61992.73,Pending,Vehicle,East Nicholas,Ready begin write recent agreement key ahead.,20
20,PN000482,2022-10-26,38484.15,Pending,Vehicle,New Jamesmouth,Because reduce family thus analysis yeah drive former girl reality no tend school situation my.,15
21,PN000273,2022-03-31,10417.76,Denied,Health,New Cameronville,Place decade then itself music wrong nearly first.,25
22,PN000391,2022-04-04,65912.52,Pending,Health,Lake Stephaniemouth,Challenge difficult notice under true yourself feel inside bit.,6
23,PN000252,2023-08-20,59369.78,Approved,Property,Thompsonville,Program none person star outside candidate picture role voice protect free.,22
24,PN000193,2022-08-10,56142.17,Pending,Vehicle,South James,Example dream figure article well work entire participant property drug trouble war run.,9
25,PN000063,2022-02-14,99879.65,Pending,Health,East Steven,My free fly general over attack present son pretty economy both.,7
26,PN000450,2023-01-15,13239.69,Denied,Vehicle,Richardsfurt,Since wall radio soldier truth life fund you.,23
27,PN000009,2022-05-05,28956.14,Approved,Vehicle,Carolynhaven,Baby whose outside section box table song yet event future country focus next exist.,19
28,PN000256,2022-11-07,80845.79,Pending,Health,Andersontown,Husband particular feeling both pretty do none set one senior let.,15
29,PN000046,2022-11-26,42742.6,Denied,Property,South Terriport,Trouble both person never nor station across better.,16
30,PN000379,2023-08-23,6663.78,Approved,Vehicle,Amandafurt,Them child card but ever animal rock service need well.,4
31,PN000263,2022-07-09,4966.53,Denied,Property,Phillipston,Note whom evening family education official here seek standard away seven kind.,28
32,PN000022,2023-03-28,83102.87,Pending,Property,Jackiemouth,Turn teacher nation enter president single notice vote science four.,17
33,PN000240,2023-10-17,1960.33,Pending,Vehicle,Scottview,Have north pick PM together tend lose record.,6
34,PN000256,2023-10-11,60563.17,Pending,Health,Port John,Reflect laugh surface reflect important consumer leg common else push way.,19
35,PN000305,2022-01-23,44135.7,Approved,Vehicle,West Tyler,Their particular themselves community interview goal project understand another method write water few case scene.,27
36,PN000158,2023-09-23,31793.49,Approved,Property,West Jacobbury,Speak west need technology discussion real cell chair mouth all girl question store agreement standard who.,6
37,PN000264,2023-10-15,6972.95,Denied,Vehicle,Whitetown,Interest future measure magazine late whole newspaper admit lay clear remain.,9
38,PN000217,2022-07-29,7756.99,Denied,Vehicle,Josephshire,Pay scientist natural almost agree between happy record painting life care truth end certain team.,17
39,PN000261,2023-06-26,21748.22,Approved,Property,Johnville,Inside customer father manager court contain just stage major least member upon spring.,23
40,PN000180,2022-05-08,66340.79,Pending,Property,Barryhaven,Protect next stuff simply you economic cause develop hair former deep hand method.,20
41,PN000395,2022-12-11,98078.69,Pending,Property,Maryton,Also chair we strong activity add for group some general walk player join region.,5
