CustomerID,Age,Income,Credit Score,Tenure,Segment
1,56,326000,655,13,Affluent
2,69,462000,821,7,Retiree
3,46,222000,547,6,Mass Market
4,32,173000,425,17,Mass Market
5,60,339000,657,6,Retiree
6,25,94000,407,19,Mass Market
7,38,226000,490,3,Mass Market
8,56,379000,649,9,Affluent
9,36,215000,496,15,Mass Market
10,40,236000,485,8,Mass Market
11,28,97000,369,15,Mass Market
12,28,160000,387,1,Mass Market
13,41,202000,490,8,Mass Market
14,70,500000,791,4,Retiree
15,53,350000,638,10,Affluent
16,57,404000,680,16,Affluent
17,41,236000,486,18,Mass Market
18,20,50000,312,4,Mass Market
19,39,180000,524,8,Mass Market
20,70,432000,833,4,Retiree
21,19,50000,300,10,Mass Market
22,41,263000,520,20,Mass Market
23,61,428000,715,4,Affluent
24,47,300000,543,16,Mass Market
25,55,346000,647,12,Affluent
26,19,120000,334,10,Mass Market
27,38,208000,521,11,Mass Market
28,50,314000,627,2,Affluent
29,29,137000,328,16,Mass Market
30,39,209000,483,19,Mass Market
31,61,414000,736,12,Retiree
32,42,224000,587,4,Mass Market
33,66,415000,771,17,Retiree
34,44,279000,558,12,Mass Market
35,59,365000,699,16,Affluent
36,45,271000,526,3,Mass Market
37,33,160000,458,2,Mass Market
38,32,162000,392,7,Mass Market
39,64,399000,749,6,Retiree
40,68,433000,794,1,Retiree
41,61,371000,724,15,Affluent
42,72,500000,791,12,Affluent
43,69,465000,780,13,Retiree
44,74,500000,850,8,Affluent
45,20,97000,322,9,Mass Market
46,54,325000,632,1,Affluent
47,68,478000,759,5,Retiree
48,24,98000,383,7,Mass Market
49,38,206000,497,18,Mass Market
50,26,152000,345,8,Mass Market
51,56,372000,668,10,Affluent
52,35,176000,443,8,Mass Market
53,21,89000,339,12,Mass Market
54,42,205000,573,16,Mass Market
55,31,162000,395,12,Mass Market
56,67,399000,786,3,Retiree
57,26,85000,383,18,Mass Market
58,43,268000,481,5,Mass Market
59,70,388000,836,14,Affluent
60,19,112000,373,20,Mass Market
61,37,228000,491,16,Mass Market
62,45,212000,606,6,Mass Market
63,64,492000,714,16,Retiree
64,24,178000,337,20,Mass Market
65,61,390000,724,14,Retiree
66,25,78000,343,20,Mass Market
67,64,470000,753,5,Retiree
68,52,313000,664,14,Affluent
69,31,159000,401,11,Mass Market
70,34,215000,489,9,Mass Market
71,53,327000,586,20,Affluent
72,67,437000,764,7,Affluent
73,57,325000,677,5,Affluent
74,21,55000,302,15,Mass Market
75,19,50000,300,13,Mass Market
76,23,53000,391,12,Mass Market
77,71,441000,850,15,Affluent
78,59,380000,724,19,Affluent
