CensusDateKey,CensusDateDate,CensusDateDayInQuarter,CensusDateDayName,CensusDateDayNameAbbrevation,CensusDateDayOfMonth,CensusDateDayOfWeek,CensusDateDayOfWeekInMonth,CensusDateDayOfYear,CensusDateFirstDayOfMonth,CensusDateFirstDayOfQuarter,CensusDateFirstDayofYear,CensusDateHoliday,CensusDateIsHoliday,CensusDateIsWeekday,CensusDateIsWeekend,CensusDateLastDayOfQuarter,CensusDateLastDayofMonth,CensusDateLastDayofYear,CensusDateMonth,CensusDateMonthAbbrevation,CensusDateMonthName,CensusDateMonthOfQuarter,CensusDateQuarter,CensusDateQuarterName,CensusDateQuarterShortName,CensusDateWeekOfMonth,CensusDateWeekOfQuarter,CensusDateWeekOfYear,CensusDateYYYYMM,CensusDateYear,CensusDateYearAndQuarter,CensusDateYearMonth,CensusDateYearName,CensusDateFirstDayOfFiscalYear,CensusDateFiscalDateKey,CensusDateFiscalDayOfYear,CensusDateFiscalMonth,CensusDateFiscalQuarter,CensusDateFiscalQuarterName,CensusDateFiscalWeekOfYear,CensusDateFiscalYear,CensusDateIsFirstDayOfFiscalYear,CensusDateIsLastOfFiscalYear,CensusDateLastDayOfFiscalYear
20210101,2021-01-01 00:00:00,1,Friday,Fri,1,6,1,1,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,New Year's Day,True,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,53,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210101,93,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210102,2021-01-02 00:00:00,2,Saturday,Sat,2,7,1,2,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,53,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210102,94,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210103,2021-01-03 00:00:00,3,Sunday,Sun,3,1,1,3,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,53,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210103,95,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210104,2021-01-04 00:00:00,4,Monday,Mon,4,2,1,4,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210104,96,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210105,2021-01-05 00:00:00,5,Tuesday,Tue,5,3,1,5,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210105,97,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210106,2021-01-06 00:00:00,6,Wednesday,Wed,6,4,1,6,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210106,98,4,2,Q2,14,FY2021,0,0,2021-09-30 00:00:00
20210107,2021-01-07 00:00:00,7,Thursday,Thu,7,5,1,7,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,1,1,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210107,99,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210108,2021-01-08 00:00:00,8,Friday,Fri,8,6,2,8,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210108,100,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210109,2021-01-09 00:00:00,9,Saturday,Sat,9,7,2,9,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210109,101,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210110,2021-01-10 00:00:00,10,Sunday,Sun,10,1,2,10,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,1,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210110,102,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210111,2021-01-11 00:00:00,11,Monday,Mon,11,2,2,11,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210111,103,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
