FacilityKey,FacilityCode,FacilityName,RecordIngestedOn
1,01,Reliant care at Los Angeles,2025-02-27 23:24:31
2,02,Reliant care at San Francisco,2025-03-27 19:06:55
3,03,Reliant care at Orange,2025-02-18 16:09:45
4,04,Reliant care at Harris,2025-03-14 17:40:33
5,05,Reliant care at Dallas,2025-02-06 09:20:02
6,06,Reliant care at Travis,2025-02-10 23:56:24
7,07,Reliant care at Kings,2025-03-10 15:42:19
8,08,Reliant care at Queens,2025-02-07 12:30:37
9,09,Reliant care at Miami-Dade,2025-03-09 06:24:11
10,10,Reliant care at Broward,2025-03-14 22:35:44
