FacilityKey,FacilityCode,FacilityName,RecordIngestedOn
1,01,Reliant care at Los Angeles,2025-01-11 09:46:19
2,02,Reliant care at San Francisco,2025-01-25 07:57:58
3,03,Reliant care at Orange,2025-02-24 17:34:49
4,04,Reliant care at Harris,2025-03-02 19:38:26
5,05,Reliant care at Dallas,2025-01-08 20:17:11
6,06,Reliant care at Travis,2025-02-13 19:05:33
7,07,Reliant care at Kings,2025-03-19 21:51:46
8,08,Reliant care at Queens,2025-03-22 19:40:33
9,09,Reliant care at Miami-Dade,2025-02-01 21:33:44
10,10,Reliant care at Broward,2025-01-11 05:59:45
