FacilityKey,FacilityCode,FacilityName,RecordIngestedOn
1,01,Reliant care at Los Angeles,2025-01-15 08:48:41
2,02,Reliant care at San Francisco,2025-02-12 20:06:00
3,03,Reliant care at Orange,2025-02-17 16:30:40
4,04,Reliant care at Harris,2025-03-06 10:13:36
5,05,Reliant care at Dallas,2025-02-11 11:38:33
6,06,Reliant care at Travis,2025-01-21 15:02:44
7,07,Reliant care at Kings,2025-03-11 17:05:14
8,08,Reliant care at Queens,2025-03-27 20:41:02
9,09,Reliant care at Miami-Dade,2025-02-28 10:35:26
10,10,Reliant care at Broward,2025-02-27 10:53:07
