FeedbackID,PolicyID,FeedbackDate,Feedback,CustomerSatisfactionScore,FeedbackType,AgentID,ResolutionStatus
1,479,2023-07-13,Customer requested better discounts for multi-policy holders.,6,Suggestion,21,Unresolved
2,104,2023-10-30,Policy documents were not received by the customer.,5,Suggestion,20,Resolved
3,53,2023-05-24,Satisfied with the speed of claim settlement under the policy.,3,Praise,7,Unresolved
4,414,2022-08-18,Customer expressed concern over rising premium rates.,3,Praise,13,Unresolved
5,293,2022-01-17,Policy cancellation process was lengthy and inconvenient.,6,Complaint,6,Resolved
6,215,2022-09-30,Feedback suggests offering mobile app for easier management.,6,Suggestion,14,Unresolved
7,56,2023-12-04,Customer requested better discounts for multi-policy holders.,5,Praise,22,In Progress
8,434,2022-02-03,Customer found it difficult to submit a claim online.,4,Praise,26,Resolved
9,168,2023-07-17,Policy cancellation process was lengthy and inconvenient.,7,Praise,19,In Progress
10,299,2023-06-26,Policy coverage terms were unclear; required agent assistance.,4,Suggestion,26,Resolved
11,19,2022-06-04,Agent Anthony Jackson was very helpful in explaining coverage.,9,Praise,29,Unresolved
12,413,2023-10-23,Customer requested more flexible payment options for premiums.,10,Praise,19,In Progress
13,310,2022-01-28,Satisfied with the support provided by the assigned agent.,8,Praise,8,Unresolved
14,150,2023-05-12,Customer recommended adding telematics for vehicle policies.,8,Praise,9,In Progress
15,148,2023-12-11,Agent provided exceptional service during the policy purchase.,9,Suggestion,5,Resolved
16,137,2022-11-09,Customer reported confusion about coverage details.,5,Suggestion,18,In Progress
17,9,2023-09-27,Policy updates should be communicated more frequently.,8,Suggestion,4,In Progress
18,43,2023-02-11,Policy cancellation process was lengthy and inconvenient.,9,Complaint,4,In Progress
19,61,2022-12-31,Feedback suggests offering mobile app for easier management.,8,Suggestion,29,Unresolved
20,196,2023-08-09,Customer appreciated the prompt service during renewal.,3,Praise,30,Unresolved
21,302,2022-01-25,Customer requested better discounts for multi-policy holders.,3,Complaint,1,Unresolved
22,42,2023-06-21,Satisfied with the speed of claim settlement under the policy.,2,Complaint,21,Resolved
23,110,2022-04-11,Customer found it difficult to submit a claim online.,1,Praise,8,In Progress
24,58,2023-09-03,Customer requested more flexible payment options for premiums.,6,Praise,23,In Progress
25,488,2022-07-04,Customer recommended adding telematics for vehicle policies.,5,Complaint,22,Resolved
26,44,2023-05-06,Feedback suggests offering mobile app for easier management.,10,Praise,21,Resolved
27,174,2023-08-17,Feedback suggests offering mobile app for easier management.,7,Praise,13,Resolved
28,277,2022-10-04,Policy renewal process was straightforward and quick.,6,Suggestion,23,In Progress
29,128,2022-04-24,Satisfied with the support provided by the assigned agent.,3,Praise,12,Unresolved
30,304,2022-12-10,Policy renewal process was straightforward and quick.,7,Complaint,12,In Progress
