"TransactionID","CustomerID","Product","Variation","Rating"
"5001","1","Credit Card","Balance Transfer","4.2"
"5002","1","Mortgage","Reverse Mortgage","3.6"
"5003","2","Retirement Account","SEP IRA","4.7"
"5004","2","Investment Account","Self-Directed","3.3"
"5005","3","Credit Card","Rewards","3.7"
"5006","3","Business Loan","SBA Loan","4.9"
"5007","3","Mortgage","Interest Only","2.9"
"5008","4","Mortgage","Interest Only","4.7"
"5009","4","Credit Card","Rewards","4.9"
"5010","4","Business Loan","Line of Credit","2.7"
"5011","5","Credit Card","Balance Transfer","3.8"
"5012","5","Mortgage","Reverse Mortgage","2.9"
"5013","6","Auto Loan","New Car","3.2"
"5014","6","Home Equity Loan","HELOC","4.2"
"5015","7","Savings Account","Children's Savings","3.1"
"5016","7","Certificate of Deposit","6-Month","2.7"
"5017","8","Auto Loan","Used Car","4.5"
"5018","8","Retirement Account","Simple IRA","4.9"
"5019","9","Checking Account","Interest Bearing","2.9"
"5020","9","Savings Account","Money Market","4.4"
"5021","10","Investment Account","Managed","3.1"
"5022","10","Home Equity Loan","Variable Rate","4.3"
"5023","11","Investment Account","Brokerage","3.7"
"5024","11","Auto Loan","Refinance","4.6"
"5025","12","Investment Account","Self-Directed","3.6"
"5026","12","Home Equity Loan","HELOC","3.9"
"5027","13","Checking Account","Basic","3.4"
"5028","13","Certificate of Deposit","5-Year","4.5"
"5029","14","Auto Loan","New Car","2.6"
"5030","14","Investment Account","Robo Advisor","2.9"
"5031","15","Personal Loan","Unsecured","3.9"
"5032","16","Student Loan","Federal","4.5"
"5033","16","Auto Loan","New Car","4.3"
"5034","17","Credit Card","Student","4.3"
"5035","17","Business Loan","SBA Loan","2.6"
"5036","18","Savings Account","High Yield","3.2"
"5037","18","Personal Loan","Unsecured","4.1"
"5038","18","Checking Account","Senior","3.8"
"5039","19","Certificate of Deposit","2-Year","4.1"
"5040","19","Savings Account","Children's Savings","3.1"
"5041","20","Auto Loan","Refinance","2.8"
"5042","20","Home Equity Loan","HELOC","3.9"
"5043","21","Retirement Account","Roth IRA","3.9"
"5044","21","Investment Account","Robo Advisor","4.4"
"5045","21","Auto Loan","Refinance","4.9"
"5046","22","Certificate of Deposit","3-Month","4.6"
"5047","23","Credit Card","Balance Transfer","3.7"
"5048","23","Mortgage","Balloon Payment","4.1"
"5049","24","Checking Account","Basic","3.7"
"5050","24","Personal Loan","Secured","5.0"
"5051","25","Mortgage","Adjustable Rate","4.7"
"5052","26","Credit Card","Balance Transfer","4.2"
"5053","26","Mortgage","Interest Only","4.2"
"5054","27","Home Equity Loan","HELOC","3.7"
"5055","27","Student Loan","Federal","3.7"
"5056","28","Auto Loan","Used Car","3.8"
"5057","28","Home Equity Loan","Variable Rate","3.9"
"5058","28","Retirement Account","SEP IRA","4.3"
"5059","29","Credit Card","Secured","3.8"
"5060","29","Mortgage","Balloon Payment","3.9"
"5061","30","Business Loan","Term Loan","4.0"
"5062","30","Credit Card","Rewards","3.2"
"5063","31","Student Loan","Federal","3.4"
"5064","31","Retirement Account","SEP IRA","4.5"
"5065","32","Mortgage","Adjustable Rate","5.0"
"5066","33","Mortgage","Interest Only","4.2"
"5067","33","Business Loan","Equipment Financing","3.1"
"5068","34","Investment Account","Brokerage","4.7"
"5069","34","Retirement Account","SEP IRA","3.3"
"5070","35","Auto Loan","Lease","4.2"
"5071","35","Retirement Account","Simple IRA","3.0"
"5072","36","Business Loan","SBA Loan","2.8"
"5073","36","Credit Card","Business","5.0"
"5074","36","Mortgage","Adjustable Rate","4.3"
"5075","37","Credit Card","Rewards","4.3"
"5076","37","Business Loan","Term Loan","3.9"
