"TransactionID","CustomerID","Product","Variation","Date"
"5001","1","Mortgage","Interest Only","05/02/2023"
"5002","2","Auto Loan","New Car","06/26/2020"
"5003","3","Credit Card","Business","08/25/2022"
"5004","4","Mortgage","Reverse Mortgage","07/12/2021"
"5005","5","Credit Card","Cashback","06/27/2022"
"5006","6","Home Equity Loan","Fixed Rate","10/15/2021"
"5007","7","Savings Account","High Yield","01/09/2020"
"5008","8","Retirement Account","IRA","12/06/2023"
"5009","9","Checking Account","Basic","07/22/2022"
"5010","10","Auto Loan","Used Car","06/07/2021"
"5011","11","Auto Loan","Lease","06/15/2024"
"5012","12","Student Loan","Refinance","11/02/2022"
"5013","13","Certificate of Deposit","1-Year","10/03/2020"
"5014","14","Retirement Account","401K","03/14/2021"
"5015","15","Mortgage","Adjustable Rate","11/27/2022"
"5016","16","Retirement Account","Roth IRA","03/30/2022"
"5017","17","Business Loan","Line of Credit","12/22/2024"
"5018","18","Certificate of Deposit","2-Year","12/18/2024"
"5019","19","Certificate of Deposit","2-Year","03/10/2021"
"5020","20","Investment Account","Managed","11/14/2024"
"5021","21","Auto Loan","Refinance","06/21/2023"
"5022","22","Retirement Account","Simple IRA","04/19/2022"
"5023","23","Business Loan","SBA Loan","04/21/2024"
"5024","24","Personal Loan","Debt Consolidation","01/13/2022"
"5025","25","Credit Card","Business","04/11/2023"
"5026","26","Credit Card","Business","09/07/2020"
"5027","27","Retirement Account","401K","09/23/2021"
"5028","28","Retirement Account","401K","09/27/2023"
"5029","29","Business Loan","Line of Credit","04/24/2022"
"5030","30","Credit Card","Rewards","01/14/2020"
"5031","31","Auto Loan","New Car","09/30/2020"
"5032","32","Student Loan","Refinance","10/03/2022"
"5033","33","Credit Card","Rewards","12/18/2020"
"5034","34","Home Equity Loan","Fixed Rate","03/04/2023"
"5035","35","Home Equity Loan","Variable Rate","08/27/2022"
"5036","36","Mortgage","Reverse Mortgage","09/19/2024"
"5037","37","Mortgage","Adjustable Rate","03/17/2021"
"5038","38","Personal Loan","Debt Consolidation","11/03/2023"
"5039","39","Business Loan","Equipment Financing","07/20/2021"
"5040","40","Retirement Account","401K","03/12/2022"
"5041","41","Credit Card","Business","05/06/2020"
"5042","42","Credit Card","Business","08/17/2023"
"5043","43","Business Loan","Line of Credit","11/29/2024"
"5044","44","Checking Account","Premium","10/15/2022"
"5045","45","Credit Card","Business","02/10/2025"
"5046","46","Business Loan","SBA Loan","06/23/2024"
"5047","47","Certificate of Deposit","1-Year","03/31/2022"
"5048","48","Mortgage","Reverse Mortgage","03/28/2023"
"5049","49","Personal Loan","Debt Consolidation","04/07/2024"
"5050","50","Business Loan","SBA Loan","05/08/2023"
"5051","51","Checking Account","Basic","12/24/2022"
"5052","52","Certificate of Deposit","1-Year","11/25/2021"
"5053","53","Checking Account","Premium","01/08/2022"
"5054","54","Credit Card","Cashback","09/14/2021"
"5055","55","Certificate of Deposit","10-Year","03/19/2020"
"5056","56","Credit Card","Business","11/15/2024"
"5057","57","Business Loan","SBA Loan","01/20/2023"
"5058","58","Student Loan","Refinance","05/19/2020"
"5059","59","Certificate of Deposit","5-Year","10/21/2022"
"5060","60","Investment Account","Robo Advisor","09/23/2020"
"5061","61","Retirement Account","401K","12/10/2022"
"5062","62","Business Loan","Equipment Financing","08/16/2020"
"5063","63","Auto Loan","Refinance","10/24/2023"
"5064","64","Mortgage","Fixed Rate","03/25/2021"
"5065","65","Business Loan","SBA Loan","07/10/2021"
"5066","66","Certificate of Deposit","5-Year","01/27/2023"
"5067","67","Mortgage","Reverse Mortgage","02/25/2024"
"5068","68","Checking Account","Senior","12/31/2022"
"5069","69","Personal Loan","Unsecured","12/27/2024"
"5070","70","Credit Card","Business","08/19/2021"
"5071","71","Mortgage","Reverse Mortgage","04/19/2023"
"5072","72","Auto Loan","Refinance","07/29/2022"
"5073","73","Business Loan","Line of Credit","04/14/2022"
"5074","74","Savings Account","Children's Savings","12/29/2021"
"5075","75","Retirement Account","IRA","01/06/2025"
"5076","76","Certificate of Deposit","5-Year","06/04/2020"
"5077","77","Investment Account","Brokerage","05/09/2022"
"5078","78","Business Loan","SBA Loan","04/19/2022"
"5079","79","Mortgage","Fixed Rate","07/30/2021"
"5080","80","Auto Loan","Refinance","07/05/2022"
"5081","81","Checking Account","Senior","10/16/2021"
"5082","82","Student Loan","Private","01/26/2021"
"5083","83","Certificate of Deposit","2-Year","10/15/2023"
"5084","84","Home Equity Loan","Fixed Rate","09/27/2023"
"5085","85","Business Loan","Line of Credit","11/01/2024"
"5086","86","Checking Account","Interest Bearing","11/09/2022"
"5087","87","Credit Card","Cashback","11/28/2020"
"5088","88","Savings Account","Children's Savings","07/10/2020"
"5089","89","Business Loan","Term Loan","10/01/2023"
"5090","90","Checking Account","Premium","10/21/2020"
"5091","91","Mortgage","Interest Only","05/14/2020"
"5092","92","Investment Account","Brokerage","07/21/2020"
"5093","93","Certificate of Deposit","5-Year","08/21/2024"
"5094","94","Retirement Account","Roth IRA","08/24/2024"
"5095","95","Investment Account","Robo Advisor","10/04/2024"
"5096","96","Mortgage","Reverse Mortgage","03/28/2020"
"5097","97","Checking Account","Basic","12/10/2020"
"5098","98","Student Loan","Consolidation","07/16/2021"
"5099","99","Credit Card","Cashback","09/15/2024"
"5100","100","Savings Account","Children's Savings","03/03/2025"
"5101","101","Auto Loan","New Car","12/25/2024"
"5102","102","Retirement Account","IRA","09/06/2020"
"5103","103","Investment Account","Self-Directed","11/14/2020"
"5104","104","Savings Account","Money Market","10/14/2024"
"5105","105","Business Loan","SBA Loan","02/29/2024"
"5106","106","Savings Account","Money Market","10/15/2020"
"5107","107","Investment Account","Robo Advisor","10/27/2020"
"5108","108","Mortgage","Reverse Mortgage","10/26/2022"
"5109","109","Auto Loan","New Car","07/02/2021"
"5110","110","Business Loan","Equipment Financing","09/12/2024"
"5111","111","Business Loan","Equipment Financing","09/14/2020"
"5112","112","Credit Card","Business","09/09/2021"
"5113","113","Savings Account","Regular","08/09/2020"
"5114","114","Mortgage","Fixed Rate","11/08/2020"
"5115","115","Auto Loan","Used Car","12/13/2020"
"5116","116","Certificate of Deposit","5-Year","05/13/2022"
"5117","117","Business Loan","Term Loan","09/20/2021"
"5118","118","Personal Loan","Unsecured","11/21/2021"
"5119","119","Savings Account","Regular","03/31/2020"
"5120","120","Personal Loan","Home Improvement","08/12/2024"
"5121","121","Investment Account","Self-Directed","02/13/2025"
"5122","122","Business Loan","Line of Credit","04/09/2023"
"5123","123","Checking Account","Senior","10/20/2020"
"5124","124","Savings Account","Money Market","07/10/2020"
"5125","125","Personal Loan","Unsecured","04/21/2024"
"5126","126","Credit Card","Cashback","01/28/2023"
"5127","127","Personal Loan","Unsecured","03/16/2022"
"5128","128","Savings Account","Children's Savings","02/05/2025"
"5129","129","Auto Loan","Lease","01/31/2020"
"5130","130","Checking Account","Interest Bearing","01/09/2025"
"5131","131","Student Loan","Refinance","08/28/2021"
"5132","132","Credit Card","Rewards","02/20/2022"
"5133","133","Personal Loan","Home Improvement","03/07/2024"
"5134","134","Credit Card","Business","01/26/2023"
"5135","135","Student Loan","Private","02/21/2020"
"5136","136","Auto Loan","Lease","04/19/2021"
"5137","137","Retirement Account","IRA","09/28/2023"
"5138","138","Retirement Account","Roth IRA","03/20/2022"
"5139","139","Personal Loan","Home Improvement","12/15/2020"
"5140","140","Savings Account","Money Market","03/22/2024"
"5141","141","Certificate of Deposit","10-Year","09/27/2022"
"5142","142","Business Loan","SBA Loan","01/27/2022"
"5143","143","Savings Account","Money Market","11/07/2022"
"5144","144","Mortgage","Reverse Mortgage","09/16/2024"
"5145","145","Investment Account","Brokerage","08/17/2020"
"5146","146","Mortgage","Interest Only","12/14/2021"
"5147","147","Credit Card","Rewards","04/28/2024"
"5148","148","Certificate of Deposit","1-Year","09/01/2021"
"5149","149","Investment Account","Managed","02/13/2024"
"5150","150","Student Loan","Federal","07/28/2021"
"5151","151","Checking Account","Interest Bearing","03/29/2023"
"5152","152","Retirement Account","401K","05/12/2022"
"5153","153","Auto Loan","Refinance","12/06/2023"
"5154","154","Home Equity Loan","Fixed Rate","01/22/2021"
"5155","155","Personal Loan","Secured","10/16/2021"
"5156","156","Student Loan","Private","01/02/2020"
"5157","157","Mortgage","Adjustable Rate","06/10/2022"
"5158","158","Credit Card","Business","05/30/2020"
"5159","159","Student Loan","Refinance","04/07/2024"
"5160","160","Savings Account","Money Market","10/28/2024"
"5161","161","Savings Account","Regular","10/02/2023"
"5162","162","Personal Loan","Unsecured","12/22/2024"
"5163","163","Retirement Account","401K","01/22/2022"
"5164","164","Investment Account","Brokerage","12/12/2023"
"5165","165","Mortgage","Interest Only","08/03/2024"
"5166","166","Certificate of Deposit","2-Year","04/06/2023"
